"dtm","co2, ppm","pm1, μg/m³","pm4, μg/m³","pm10, μg/m³","pm25, μg/m³","voc, ppm","ch2o, ppm","noise, db","light, lux","temperature, °C","humidity, %","abs_humidity, g/m³","pressure, mbar","vocindex","noxindex","avti","eiaqi","tci","iaqi"
31-Oct-2024 05:00:00-04:00,415,2.5,2.7,2.7,2.6,,0.02,53,1,21.32,69.14,12,992.33,,,1,52,52,92
31-Oct-2024 05:01:00-04:00,411,2.6,2.7,2.7,2.7,0.04,0.0,52,6,21.22,69.51,12,992.39,44,1,1,52,52,91
31-Oct-2024 05:02:00-04:00,411,2.8,2.9,2.9,2.9,0.05,0.0,52,19,21.16,69.9,12,992.41,68,1,1,51,51,89
31-Oct-2024 05:03:00-04:00,412,2.5,2.6,2.6,2.6,0.07,0.0,53,19,21.11,70.23,12,992.37,80,1,1,50,50,85
31-Oct-2024 05:04:00-04:00,411,2.7,2.9,2.9,2.9,0.08,0.0,53,19,21.08,70.43,12,992.3,87,1,1,50,50,83
31-Oct-2024 05:05:00-04:00,411,2.6,2.8,2.8,2.8,0.08,0.0,53,19,21.04,70.66,12,992.32,93,1,1,49,49,83
31-Oct-2024 05:06:00-04:00,414,2.3,2.5,2.5,2.5,0.09,0.0,54,19,21.01,70.91,12,992.32,97,1,1,49,49,80
31-Oct-2024 05:07:00-04:00,415,2.7,2.9,2.9,2.9,0.09,0.0,54,19,20.97,71.13,12,992.33,100,1,1,48,48,80
31-Oct-2024 05:08:00-04:00,414,2.5,2.6,2.6,2.6,0.09,0.0,54,20,20.97,71.13,12,992.42,101,1,1,48,48,80
31-Oct-2024 05:09:00-04:00,412,2.4,2.6,2.6,2.6,0.09,0.0,52,20,20.98,71.27,13,992.48,102,1,1,48,48,80
31-Oct-2024 05:10:00-04:00,413,2.3,2.4,2.4,2.4,0.09,0.01,52,19,21.0,71.4,13,992.55,102,1,1,48,48,80
31-Oct-2024 05:11:00-04:00,412,2.2,2.3,2.3,2.3,0.09,0.01,52,20,21.01,71.35,13,992.51,100,1,1,48,48,80
31-Oct-2024 05:12:00-04:00,413,2.6,2.7,2.7,2.7,0.09,0.0,53,19,21.01,71.37,13,992.43,100,1,1,48,48,80
31-Oct-2024 05:13:00-04:00,414,2.5,2.7,2.7,2.7,0.09,0.0,53,19,20.97,71.46,13,992.36,96,1,1,48,48,80
31-Oct-2024 05:14:00-04:00,413,2.6,2.7,2.7,2.7,0.09,0.0,53,19,20.9,71.72,13,992.36,97,1,1,47,47,80
31-Oct-2024 05:15:00-04:00,413,2.0,2.1,2.1,2.1,0.09,0.0,54,19,20.83,71.97,13,992.4,99,1,1,47,47,80
31-Oct-2024 05:16:00-04:00,414,2.0,2.2,2.2,2.2,0.09,0.0,54,19,20.79,72.12,13,992.46,101,1,1,47,47,80
31-Oct-2024 05:17:00-04:00,413,2.1,2.2,2.2,2.2,0.09,0.0,54,19,20.78,72.15,13,992.52,103,1,1,47,47,80
31-Oct-2024 05:18:00-04:00,413,2.3,2.4,2.4,2.4,0.1,0.0,53,18,20.79,72.16,13,992.65,104,1,1,47,47,79
31-Oct-2024 05:19:00-04:00,415,2.3,2.4,2.4,2.4,0.09,0.01,52,18,20.83,72.26,13,992.66,104,1,1,46,46,80
31-Oct-2024 05:20:00-04:00,414,1.9,2.0,2.0,2.0,0.09,0.01,53,18,20.86,72.15,13,992.63,102,1,1,47,47,80
31-Oct-2024 05:21:00-04:00,413,2.1,2.2,2.2,2.2,0.09,0.0,53,18,20.86,72.06,13,992.53,101,1,1,47,47,80
31-Oct-2024 05:22:00-04:00,412,2.1,2.2,2.2,2.2,0.09,0.0,53,18,20.82,72.11,13,992.41,100,1,1,47,47,80
31-Oct-2024 05:23:00-04:00,412,2.3,2.5,2.5,2.5,0.09,0.0,53,18,20.76,72.31,13,992.42,99,1,1,46,46,80
31-Oct-2024 05:24:00-04:00,415,2.1,2.3,2.3,2.3,0.09,0.0,54,18,20.7,72.51,13,992.4,99,1,1,46,46,80
31-Oct-2024 05:25:00-04:00,417,2.1,2.2,2.2,2.2,0.09,0.0,53,17,20.65,72.71,13,992.42,99,1,1,45,45,80
31-Oct-2024 05:26:00-04:00,419,2.2,2.4,2.4,2.4,0.09,0.0,53,18,20.65,72.83,13,992.55,101,1,1,45,45,80
31-Oct-2024 05:27:00-04:00,417,1.9,2.0,2.0,2.0,0.09,0.0,53,18,20.68,72.9,13,992.59,102,1,1,45,45,80
31-Oct-2024 05:28:00-04:00,416,2.0,2.1,2.1,2.1,0.09,0.01,53,18,20.7,73.02,13,992.6,102,1,1,45,45,80
31-Oct-2024 05:29:00-04:00,416,2.2,2.4,2.4,2.4,0.09,0.01,53,18,20.72,72.86,13,992.57,102,1,1,45,45,80
31-Oct-2024 05:30:00-04:00,416,2.0,2.1,2.1,2.1,0.09,0.0,53,18,20.7,72.8,13,992.48,101,1,1,45,45,80
31-Oct-2024 05:31:00-04:00,416,2.1,2.3,2.3,2.3,0.09,0.0,53,18,20.64,73.04,13,992.46,101,1,1,45,45,80
31-Oct-2024 05:32:00-04:00,415,2.0,2.1,2.1,2.1,0.09,0.0,53,18,20.58,73.3,13,992.48,100,1,1,44,44,80
31-Oct-2024 05:33:00-04:00,414,2.1,2.3,2.3,2.3,0.09,0.0,54,18,20.53,73.42,13,992.51,100,1,1,44,44,80
31-Oct-2024 05:34:00-04:00,413,2.0,2.1,2.1,2.1,0.09,0.0,53,18,20.5,73.5,13,992.53,100,1,1,44,44,80
31-Oct-2024 05:35:00-04:00,414,2.1,2.2,2.2,2.2,0.09,0.0,53,18,20.49,73.61,13,992.59,101,1,1,44,44,80
31-Oct-2024 05:36:00-04:00,415,2.0,2.2,2.2,2.2,0.09,0.01,53,18,20.52,73.68,13,992.65,101,1,1,44,44,80
31-Oct-2024 05:37:00-04:00,418,1.8,1.9,1.9,1.9,0.09,0.01,52,18,20.56,73.45,13,992.65,102,1,1,44,44,80
31-Oct-2024 05:38:00-04:00,418,1.9,2.0,2.0,2.0,0.09,0.01,53,18,20.61,73.1,13,992.57,102,1,1,45,45,80
31-Oct-2024 05:39:00-04:00,419,1.9,2.0,2.0,2.0,0.09,0.01,53,18,20.61,72.92,13,992.49,102,1,1,45,45,80
31-Oct-2024 05:40:00-04:00,419,2.3,2.5,2.5,2.5,0.09,0.0,53,18,20.55,73.16,13,992.48,101,1,1,45,45,80
31-Oct-2024 05:41:00-04:00,420,1.9,2.1,2.1,2.1,0.09,0.0,53,18,20.49,73.53,13,992.48,100,1,1,44,44,80
31-Oct-2024 05:42:00-04:00,419,2.0,2.2,2.2,2.2,0.09,0.0,53,18,20.41,73.93,13,992.5,100,1,1,43,43,80
31-Oct-2024 05:43:00-04:00,417,1.7,1.8,1.8,1.8,0.09,0.0,54,18,20.38,74.07,13,992.51,100,1,1,43,43,80
31-Oct-2024 05:44:00-04:00,417,2.0,2.1,2.1,2.1,0.09,0.0,54,18,20.37,74.08,13,992.58,101,1,1,43,43,80
31-Oct-2024 05:45:00-04:00,418,1.8,1.9,1.9,1.9,0.09,0.01,53,18,20.4,74.05,13,992.62,102,1,1,43,43,80
31-Oct-2024 05:46:00-04:00,416,2.0,2.2,2.2,2.2,0.09,0.01,53,18,20.45,73.76,13,992.64,103,1,1,43,43,80
31-Oct-2024 05:47:00-04:00,416,1.8,1.9,1.9,1.9,0.1,0.01,53,18,20.49,73.48,13,992.61,103,1,1,44,44,79
31-Oct-2024 05:48:00-04:00,417,1.8,1.9,1.9,1.9,0.09,0.01,53,18,20.5,73.35,13,992.55,103,1,1,44,44,80
31-Oct-2024 05:49:00-04:00,415,2.0,2.1,2.1,2.1,0.09,0.0,54,18,20.46,73.47,13,992.53,102,1,1,44,44,80
31-Oct-2024 05:50:00-04:00,414,2.1,2.3,2.3,2.3,0.09,0.0,54,18,20.42,73.71,13,992.52,98,1,1,43,43,80
31-Oct-2024 05:51:00-04:00,418,2.2,2.3,2.3,2.3,0.09,0.0,54,18,20.38,73.92,13,992.52,93,1,1,43,43,80
31-Oct-2024 05:52:00-04:00,418,1.9,2.0,2.0,2.0,0.08,0.0,54,18,20.35,74.09,13,992.56,90,1,1,43,43,83
